City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Changji,CN,2022-10-25 15:30:20,44.0167,87.3167,45.39,53,0,0.0
122,Sioux Lookout,CA,2022-10-25 15:30:21,50.1001,-91.917,35.67,80,100,12.66
123,San Carlos De Bariloche,AR,2022-10-25 15:29:45,-41.1456,-71.3082,61.25,36,75,4.61
124,Pilar,BR,2022-10-25 15:30:23,-9.5972,-35.9567,85.93,55,79,12.48
125,Akdepe,TM,2022-10-25 15:30:24,42.0551,59.3788,53.69,66,78,9.15
126,Uyskoye,RU,2022-10-25 15:30:24,54.3775,60.0047,34.74,66,100,11.1
127,Vaini,TO,2022-10-25 15:30:25,-21.2,-175.2,69.96,73,75,4.61
128,Hithadhoo,MV,2022-10-25 15:30:25,-0.6,73.0833,81.36,77,55,10.22
129,Rawicz,PL,2022-10-25 15:30:26,51.6095,16.8585,62.15,79,83,7.45
130,Yellowknife,CA,2022-10-25 15:27:59,62.456,-114.3525,21.72,93,75,10.36
131,Castro,BR,2022-10-25 15:30:27,-24.7911,-50.0119,74.86,52,28,2.95
132,Bushehr,IR,2022-10-25 15:30:27,28.9684,50.8385,84.29,65,0,9.22
133,Jamestown,US,2022-10-25 15:30:31,42.097,-79.2353,67.59,79,0,9.22
134,Bethel,US,2022-10-25 15:31:29,41.3712,-73.414,67.19,90,100,6.91
135,Kirakira,SB,2022-10-25 15:31:29,-10.4544,161.9205,78.4,85,4,3.09
136,Lompoc,US,2022-10-25 15:31:30,34.6391,-120.4579,54.59,81,0,3.44
137,Cabo San Lucas,MX,2022-10-25 15:31:31,22.8909,-109.9124,80.06,73,40,8.05
138,Luce,FR,2022-10-25 15:31:31,48.4369,1.4636,63.55,83,100,5.99
139,Santa Cruz,BO,2022-10-25 15:31:32,-17.8,-63.1667,93.25,40,20,17.27
140,Russell,US,2022-10-25 15:31:32,32.3502,-85.1999,73.38,68,0,8.05
141,Ilulissat,GL,2022-10-25 15:31:33,69.2167,-51.1,28.42,86,100,2.3
142,Porto Novo,BJ,2022-10-25 15:31:33,6.4965,2.6036,78.62,68,99,7.0
143,San Quintin,MX,2022-10-25 15:31:34,30.4833,-115.95,67.1,37,0,1.81
144,Los Dos Caminos,VE,2022-10-25 15:31:35,10.4939,-66.8286,84.11,59,67,3.0
145,San Policarpo,PH,2022-10-25 15:31:36,12.1791,125.5072,81.16,86,99,13.8
146,Kati,ML,2022-10-25 15:31:37,12.7441,-8.0726,96.21,21,81,8.46
147,Sobolevo,RU,2022-10-25 15:31:37,54.4299,31.8996,44.55,87,100,8.1
148,Victoria,HK,2022-10-25 15:27:50,22.2855,114.1577,75.38,72,100,11.99
149,Mar Del Plata,AR,2022-10-25 15:30:05,-38.0023,-57.5575,73.42,56,0,8.05
150,Bay Roberts,CA,2022-10-25 15:31:39,47.5999,-53.2648,64.06,58,7,7.0
151,Karratha,AU,2022-10-25 15:31:41,-20.7377,116.8463,74.25,67,0,17.05
152,Grand-Lahou,CI,2022-10-25 15:31:42,5.1367,-5.0242,81.03,81,95,7.92
153,Camacha,PT,2022-10-25 15:31:42,33.0833,-16.3333,71.02,78,75,11.5
154,Lorengau,PG,2022-10-25 15:31:42,-2.0226,147.2712,81.57,72,100,3.18
155,Tasiilaq,GL,2022-10-25 15:31:44,65.6145,-37.6368,35.76,93,100,5.37
156,Celestun,MX,2022-10-25 15:31:44,20.8667,-90.4,84.16,68,20,6.55
157,Dhidhdhoo,MV,2022-10-25 15:31:46,6.8833,73.1,80.78,81,82,6.96
158,Lima,PE,2022-10-25 15:31:14,-12.0432,-77.0282,64.9,77,100,10.36
159,Ahipara,NZ,2022-10-25 15:31:47,-35.1667,173.1667,53.42,91,69,6.71
160,Puerto Ayacucho,VE,2022-10-25 15:31:47,5.6639,-67.6236,87.37,62,92,2.55
161,Belyy Yar,RU,2022-10-25 15:31:48,53.6039,91.3903,17.49,86,6,4.47
162,Clarksville,US,2022-10-25 15:29:15,36.5298,-87.3595,69.98,69,100,12.66
163,Kyaukse,MM,2022-10-25 15:31:49,21.6,96.1333,75.85,86,22,4.36
164,Hoganas,SE,2022-10-25 15:31:49,56.1997,12.558,57.02,88,25,16.71
165,Puerto Ayora,EC,2022-10-25 15:31:50,-0.7393,-90.3518,69.76,90,96,5.99
166,Husavik,IS,2022-10-25 15:31:50,66.0449,-17.3389,38.25,92,94,8.43
167,Qaanaaq,GL,2022-10-25 15:31:51,77.484,-69.3632,23.32,72,100,6.42
168,Santiago Del Estero,AR,2022-10-25 15:31:51,-27.7951,-64.2615,99.16,20,0,22.7
