City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
569,Coahuayana,MX,82.33,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
572,Ambulu,ID,77.02,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
590,Wanning,CN,75.96,overcast clouds,18.8003,110.3967,Paradise Hotel
600,Kismayo,SO,77.45,broken clouds,-0.3582,42.5454,Agan-Hotel
605,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
610,Kandrian,PG,85.68,broken clouds,-6.2167,149.55,Kandrian Station
613,Majene,ID,79.65,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
620,Manokwari,ID,81.14,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
621,Mackay,AU,89.69,scattered clouds,-21.15,149.2,International Lodge Motel
624,Neuquen,AR,75.09,light rain,-38.9516,-68.0591,Hotel del Comahue
626,Carutapera,BR,79.74,broken clouds,-1.195,-46.02,Lidera
627,Bambanglipuro,ID,77.2,light rain,-7.95,110.2833,Puri Brata
631,Liku,ID,76.95,overcast clouds,-0.7275,119.8922,Kost annisa
635,Manzanillo,CU,79.07,few clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
638,Kerema,PG,83.84,broken clouds,-7.9631,145.7785,Frena Lodge
639,Haapiti,PF,82.13,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
642,Charters Towers,AU,87.85,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
643,Filingue,NE,87.3,clear sky,14.3521,3.3168,Chez Zarkilou Issa
645,Dhidhdhoo,MV,80.35,broken clouds,6.8833,73.1,Dhidhoo beach
646,Manadhoo,MV,80.29,overcast clouds,5.7667,73.3833,Bon Abri maldives
663,Marigot,MF,82.74,few clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
664,Phuket,TH,85.12,few clouds,8.0,98.25,The Surin
669,Pak Phanang,TH,79.63,overcast clouds,8.3511,100.202,Green Park Inn Hotel
671,Puerto Leguizamo,CO,77.59,overcast clouds,-0.1934,-74.7819,la casona de juancho
673,Nguruka,TZ,77.79,overcast clouds,-5.1092,31.0419,RUSULI LODGE
685,Atar,MR,87.94,overcast clouds,20.5169,-13.0499,Oumou Elghoura
687,Lubao,PH,80.31,overcast clouds,14.9167,120.55,Hacienda Gracia
689,Berbera,SO,82.56,few clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
